,publicName,translationSetId,rating,architectonic,educative,historic_location,historic_museum,castles,churches,children,art_galleries,art_museum,military,specialty,gardens,science,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,visual,culture,naval,nature,tech,ethnology,small_museum,zero_four,five_eight,nine_twelve,activity,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
81,Stedelijk Museum Kampen,276fc4e9-2dcb-4bf7-884c-286c8ebc9865,84.0,0,0,0,0,0,0,0,0,1,0,0,0,0,8dff73eb-d242-4ac5-b0eb-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
82,Museum Sterrenwacht Sonnenborgh,27b9e34f-c9da-47d5-a22e-d5140b9b0d18,43.0,0,0,0,0,0,0,0,0,0,0,0,0,1,cbb7f9c9-09b6-45ee-b0db-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
83,DAF Museum,2873d968-6b2d-49dc-8103-a5e1be56f5ae,721.0,0,0,0,0,0,0,0,0,0,0,1,0,0,88ed9618-9e9b-4904-afac-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
84,Speelgoed en Carnavalsmuseum Op Stelten,28a01a21-e5f1-46b4-ba15-66b3e3af9c1a,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,ca3fc932-d109-48bd-b0dd-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
85,De Museumfabriek,2a3a81ef-29ee-44f9-9367-26f890075735,140.0,0,0,0,0,0,0,0,0,0,0,1,0,0,ee516e7d-9ae3-463d-b090-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
86,Keramiekmuseum Princessehof,2aab8e4a-58db-4bf4-afe8-06a444b8e56c,250.0,0,0,0,0,0,0,0,0,1,0,0,0,0,88034013-5d9f-4c4c-b00c-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
87,Historisch Museum Den Briel,2adac304-3df6-4588-a60b-c763f29595f9,66.0,0,0,0,1,0,0,0,0,0,0,0,0,0,f6d26068-6d0e-44ba-afea-08d7f60b9c3e,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
88,Marinemuseum,2c843151-3bfa-4329-8f32-5e969d913214,400.0,0,0,0,0,0,0,0,0,0,1,0,0,0,fa55c4ab-1315-426c-b01d-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
89,Bureau Europa,2d859675-3803-40fe-8724-56d33734a322,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,e30e722f-1696-4074-b0f3-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,Libertum,2dc0d96e-fbe8-41de-b1db-36094539f0ce,13.0,0,0,0,0,0,0,0,0,0,0,1,0,0,cde6ad03-09d9-4d41-b155-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
91,Ikonenmuseum Kampen,2e8dff09-d2bc-40d0-8d73-93dba2efb202,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,2f869672-bc8a-4063-aff7-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
92,Museum van Bommel van Dam,2ed9bac7-8ebe-479a-9bf8-6b837c7f0e90,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,acda4613-d1bc-41ec-b11e-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
93,Van Abbemuseum,2fc39c27-ca42-462c-b8a5-6b8fdb927961,560.0,0,0,0,0,0,0,0,0,1,0,0,0,0,841e8d19-3e06-411c-b14f-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
94,Indisch Herinneringscentrum (IHC) | Sophiahof,2ffb2ebd-007a-4bbe-affc-50095caa653d,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,53b38d15-e64c-49bb-b108-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
95,Kasteel Doornenburg,30f51fcc-b373-4b85-9ba0-40d958542540,55.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2e1657fa-0299-4ddf-af97-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
96,Science Centre Delft,311f809f-409a-43e7-a89b-817ca4b40f2a,82.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2cfefbd7-159e-43b9-b0d6-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
97,Het Sterkenhuis,32a3dcad-8124-4eff-b874-36e2caaee03e,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,2af6e156-50f5-4582-afe3-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Museum Kennemerland,3300f29e-d2c4-45f7-8cb4-a87a4ac23d55,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7896247f-98b5-47fb-b066-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,Museum Volkenkunde,33fdc6ef-026e-4a2d-afc1-8b56f1ed6a08,563.0,0,0,0,0,0,0,0,0,0,0,1,0,0,188d4937-c7ec-405d-b08a-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
100,Museum De Wemme,351d1594-300a-4b56-be83-252adf11bcc4,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,de6dd4f4-b549-4a7f-b046-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
101,De Koperen Knop,35f1cf6b-a0d7-45d3-97e1-50af18c929c1,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,c6524189-62d2-41bc-b03e-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
102,Marie Tak van Poortvliet Museum,35fbec41-a299-4e7a-ae03-a063e4d4e5f7,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,b0fed8c9-43cf-4842-b01c-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
103,Historiehuis Roermond,368607b3-1085-4b46-9f41-3204431b0545,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,9d1218fa-30c7-4a32-afe6-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
104,Museum Tromp's Huys,36da426c-d98f-41bc-ba5a-770e4412f569,68.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2ad027ab-7e78-43c6-b11d-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,Museum MORE | Kasteel Ruurlo,379238fb-bb67-4f77-9e80-6476a433713f,244.0,0,0,0,0,0,0,0,0,1,0,0,0,0,7392d815-a4ec-42c7-b007-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
106,Museum Waelstee,37e493ef-e985-4774-a856-fb44640c0ee0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,32b26ecc-911c-42a7-afa9-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107,Openluchtmuseum Het Hoogeland,38107554-9018-4367-b2ad-58797d7806c5,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,e5af16eb-5821-48e0-b0c2-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
108,Museum Slager,38609b0d-35a3-43ce-9896-d7c42996b702,43.0,0,0,0,0,0,0,0,0,1,0,0,0,0,75eceda9-48a0-44fc-b07a-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
109,Marius van Dokkum Museum,3888a423-3411-4928-ba07-b5dc1ce2a080,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7ea503cd-d0a0-43c2-b021-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Botanische Tuin TU Delft,38a216ca-1fee-45de-9b0a-ae857342d0c0,96.0,0,0,0,0,0,0,0,0,0,0,0,1,0,8446d1fa-515c-480a-af9f-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
111,Gemeentelijk Archeologisch Museum Aardenburg,39427955-788d-4592-bbe4-1daf82865181,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,91d17505-3ca1-4bf6-afcc-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Het Cuypershuis,39602e5d-e0c7-4304-aa89-ba9d234d12fa,70.0,0,0,0,0,0,0,0,0,0,0,1,0,0,8592a114-7f91-4533-afaa-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,Museum De Waag,39b0a7b4-6bf6-4c5d-a29a-0e4266055be1,54.0,0,0,0,1,0,0,0,0,0,0,0,0,0,69ff46b3-c918-441c-b045-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
114,Stadhuismuseum Zierikzee,39c0d207-7edc-4e51-82bb-e0d0da3576d4,72.0,0,0,0,0,0,0,0,0,0,0,1,0,0,ae725585-3350-4ca9-b0df-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
115,Museum Boxtel,39f0a03f-de2f-4709-b03b-4415349736e7,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,ddd8cb78-b41f-40f7-b177-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Nederlands Fotomuseum,3b0519ec-a69a-4f2f-8ea2-a5ac4428d096,275.0,0,0,0,0,0,0,0,0,0,0,1,0,0,ba6097a9-fb45-43b2-b0b2-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,Kasteel Radboud,3b3c0cbf-7176-4d16-bc60-89eeeb679a76,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,bbac3714-524f-40f2-b10c-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,ABC Architectuurcentrum Haarlem,3bcb3ba4-1675-461b-880e-2676f8c7def9,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,15c93d1b-a3a0-49ff-b0ee-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
119,Luchtvaartmuseum Aviodrome,3caa2392-510f-4c85-a489-b83e8200ff90,493.0,0,0,0,0,0,0,0,0,0,0,1,0,0,b5514b92-dd11-4b0a-af94-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1
120,Tropenmuseum,3d1a28ab-20dd-4d49-a6c1-23f504ec9472,1.128,0,0,0,1,0,0,0,0,0,0,0,0,0,7815a3eb-4084-4fca-b14a-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
121,Museum JAN,3d6ab4ba-b9b7-4895-840b-bb1e4f71d148,82.0,0,0,0,0,0,0,0,0,0,0,1,0,0,99d53b49-3103-411d-b062-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
122,Katwijks Museum,3dc8fd2b-b27d-4552-8e95-7b51c95c08c9,79.0,0,0,0,0,0,0,0,0,1,0,0,0,0,ec91a01b-d384-46e0-b008-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
123,Museum Giethoorn 't Olde Maat Uus,3df5f7b5-a809-489d-912d-8a1b1baec86b,86.0,0,0,0,0,0,0,0,0,0,0,1,0,0,10562828-0601-4b55-b051-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,Museum Paul Tetar van Elven,3df6ef97-9a05-4b69-b1a4-e3789f20dc13,74.0,0,0,1,0,0,0,0,0,0,0,0,0,0,f2835632-9be9-415f-b073-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,Museum Stedhûs Sleat,3f1b3299-65f6-47c7-a507-56346cab0a5e,32.0,0,0,0,1,0,0,0,0,0,0,0,0,0,36d5b74a-a995-4c29-b07c-08d7f60b9c3e,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
126,Openluchtmuseum en Themapark De Spitkeet,3f224a07-d3c3-4467-ab27-2d0f4d6705dc,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,e9602b87-4614-4b67-b0c1-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
127,Zeeuws Maritiem MuZEEum,3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,b37a4b8f-948f-4813-b166-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
128,Sint Jan Gouda,3f96c8bc-3397-4d76-a48a-ee33ca65a8bb,528.0,1,0,0,0,0,0,0,0,0,0,0,0,0,a5c67986-84c5-4f03-b0d8-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,Venrays Museum,3fda52f4-5d41-4952-b7b9-9da1e11ddb45,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,c5289742-0f88-4dcb-b132-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,Museum Hengelo,40df8d12-f944-476e-9c56-b916760428d8,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2938a919-2691-4c86-b055-08d7f60b9c3e,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
131,Tongerlohuys,41a0a29c-a655-4f51-979c-7fa624b303ea,144.0,0,0,0,1,0,0,0,0,0,0,0,0,0,d166a6b0-b098-4c19-b0f9-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
132,Formerly known as Witte de With Center for Contemporary Art,4238d9e8-9800-400a-be2f-e9cf52787314,28.0,0,0,0,0,0,0,0,0,1,0,0,0,0,4b05e3e1-59c0-4e71-b163-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
133,Comenius Museum,424e8423-e43b-48e8-ad19-821014020860,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7b770ab9-1a2b-43e7-afa6-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
134,Betje Wolff Museum,42890c86-06cd-4ea5-a170-57c95dbfd26a,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,c33c32da-33c8-437c-af99-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
135,De Bastei,43342fe3-e57f-4b74-883f-207d1cf0a24b,51.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20382ca9-9630-45b0-b0f6-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
136,Noord-Veluws Museum,43ae1a05-2981-4201-8c97-19a696eb0c5e,997.0,0,0,0,0,0,0,0,0,0,0,1,0,0,a54979e7-6f89-41c6-b0bd-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
137,Hannemahuis,453c62b2-ae22-4cc4-abab-b66b6a5ecc2b,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,5a44b248-5ad5-48df-afcd-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
138,Museum In 't Houten Huis,46f074e4-5e2b-46f4-a279-85a0ae2c0026,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,11f6259e-f15f-4efc-b060-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
139,Rijksmuseum Twenthe,471dcd8a-6a1b-44aa-b073-0f024f72dde3,200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,dadf18ee-2356-4d63-b0d1-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
140,Nationaal Brandweermuseum,47f27c2b-3056-4529-ae95-9ba9d4a59902,44.0,0,0,0,0,0,0,0,0,0,0,1,0,0,827f9381-7c18-483c-b099-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
141,Museum Valkenburg,4981f5e2-5430-48aa-a8e0-726868672a4d,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,05f5bd76-48fc-476a-b069-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
142,Markiezenhof,49ad034f-9424-4d89-aab5-8df3c2112ff4,204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ebfb7e95-e87a-4452-b023-08d7f60b9c3e,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
143,"Maritiem Centrum ""Abraham Fock""",4adc4cea-e065-4ee1-b3e1-9017e2b4f487,53.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0bbc0b31-6861-4066-b01f-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
144,Zeeuws Museum,4b0ef9d3-e2a3-46be-a3db-a0353c949077,288.0,0,0,0,1,0,0,0,0,0,0,0,0,0,d1bfbaa4-b8f9-44fa-b167-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
145,Museum Het Pakhuis,4b596778-4379-48da-a946-0d04e39e3cea,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,3487c531-c13c-4065-b058-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
146,Waterliniemuseum,4bb2e162-41aa-4f1b-b953-c4ec0bb30042,66.0,0,0,0,1,0,0,0,0,0,0,0,0,0,4da2d1e5-351a-4efd-b15d-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
147,Cromhouthuis & Bijbels Museum,4bde56f6-2fb4-4a0a-ada5-5ede3cb7ba39,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6318c2cb-1697-40b4-afa7-08d7f60b9c3e,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Westfries Museum,4be5188d-789a-468a-b2da-30d38b5320cd,265.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2e224353-eb32-4fb6-b160-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
149,Museum Helmond,4c123cbb-afaa-4150-94ff-4b94dfc60b4f,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,cc58d762-653d-4ad4-b054-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
150,Brabants Museum Oud Oosterhout,4cb403ef-21c9-4731-86a2-f9f32bd44487,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,7d9c6d0c-0cba-4db7-afa1-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
151,Museum Bussemakerhuis,4d1d7577-a12c-4f3b-a80a-d01b47d99488,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,151e6255-2234-4755-b038-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
152,Museum De Vier Quartieren,4d8e2faf-08bc-437f-b2bb-68239de990b3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
153,Kazemattenmuseum Kornwerderzand,4e2ba88a-439c-41d6-be37-60c26d51cba0,44.0,0,0,0,0,0,0,0,0,0,0,1,0,0,d7b3c2a3-8021-4018-b009-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,Kempenmuseum De Acht Zaligheden,4e2c8d79-1fe0-412d-aaac-080504f0e090,25.0,0,0,0,0,0,0,0,0,0,0,1,0,0,e940a8b4-b4b1-4fb4-b00a-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,Museum Het Rembrandthuis,4ed3950e-9848-4acc-b32c-17b853e757be,6.8020000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,6fd13fa0-4ab0-4c36-b05a-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
156,Fries Scheepvaart Museum,4ee51be4-87ff-4d2c-bee6-9c5d81843d3c,151.0,0,0,0,0,0,0,0,0,0,0,1,0,0,9e5fc4cc-9620-4cea-afc5-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
157,Veenkoloniaal Museum,4f05881b-f742-480c-b13d-91d99c6fc4a2,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,f05ba71f-dfaa-49f9-b131-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
158,Oyfo Techniekmuseum,505d548a-6b67-416a-b85a-15dee47e855b,70.0,0,0,0,0,0,0,0,0,0,0,1,0,0,ef6d2a38-99ac-4850-b0c6-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
159,Marker Museum,50d46141-1880-4929-a839-b0a3eba9a124,54.0,0,0,0,1,0,0,0,0,0,0,0,0,0,ec9cd037-e23b-4f34-b022-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
160,Frans Hals Museum Hof,517d316a-319f-42e4-9b1b-18f527eca91e,125.0,0,0,0,0,0,0,0,0,1,0,0,0,0,bac4fbe7-56ce-411e-b0fe-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
161,Galerij Prins Willem V,51e0605c-118c-43ba-b395-a579ef5c2716,160.0,0,0,0,0,0,0,0,0,1,0,0,0,0,e94c6a1a-ad7f-42c2-afc8-08d7f60b9c3e,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,Centraal Museum,51e2d626-dd45-430a-bf2e-acc0c381857a,398.0,0,0,0,0,0,0,0,0,1,0,0,0,0,87463a2a-2f87-4a74-b0f4-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
163,Panorama Mesdag,51f2f922-3ec1-4a76-aa53-703e88dd7056,1.995,0,0,0,1,0,0,0,0,0,0,0,0,0,fe2c70b0-3cd4-4da0-b0c8-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
